"id","name","latitude","longitude"
"452","1925C4","43.6004246831643","3.90040595142034"
"453","19265A","43.6024479086633","3.90135152916673"
"454","19265B","43.5973198640552","3.90119321819225"
"455","19265C","43.6011222371668","3.89877441757938"
"457","19265E","43.5989777389476","3.90482027593146"
"458","19265F","43.6003765514713","3.89862340458342"
"459","192660","43.6020513645477","3.89808749379017"
"460","192661","43.6027350283446","3.90475535268922"
"461","192662","43.6016780673255","3.90158555260132"
"462","192663","43.6013858793319","3.89825444246151"
"463","192664","43.6012539793371","3.89922624556414"
"466","192667","43.6038800528224","3.89990906857554"
"470","19266B","43.6017578511493","3.89899515969569"
"472","19266D","43.6025654456241","3.89867737910515"
"473","19266E","43.6147131391754","3.87961390841654"
"474","19266F","43.6150208","3.8773348"
"475","192670","43.60267","3.8807"
"476","192671","43.6017193917385","3.90041039184689"
"477","192672","43.6031796121957","3.89841377983043"
"478","192673","43.5991168105681","3.90347222414789"
"479","192674","43.6019855725883","3.8980881476765"
"480","192675","43.6048623222492","3.89937898401638"
"481","192676","43.5989462586077","3.90473454487892"
"482","192677","43.6014740962547","3.89824548022489"
"484","192679","43.6024557353968","3.89840639621411"
"485","19267A","43.6016930832275","3.90046278216516"
"486","19267B","43.6020243628941","3.9017525634971"
"487","19267C","43.6018170210477","3.89899898682199"
"488","19267D","43.6014994348172","3.89822654753539"
"489","19267E","43.5973189940007","3.90131252009314"
"490","19267F","43.5985199061565","3.90023162276361"
"491","192680","43.599756105184","3.90193616047088"
"492","192681","43.603180175294","3.89847338988716"
"493","192682","43.6004428777783","3.9019469782977"
"494","192683","43.5984713961293","3.90376322863005"
"495","192684","43.5991138520787","3.90138763996856"
"496","192685","43.5998696193818","3.90225579865819"
"497","192686","43.5979153251369","3.90239763859267"
"498","192687","43.5979717916346","3.90222872557933"
"499","192688","43.6025714090806","3.89861199602512"
"500","192689","43.604894634975","3.89935741276747"
"501","19268A","43.6030513874777","3.89831837068402"
"554","195B58","43.63789429656","3.92678943008468"
"555","195B5B","43.6248917154837","3.82264200160512"
"557","195B5E","43.6352309216582","3.82012399572977"
"558","195B5F","43.6340865180482","3.90615111965087"
"559","195B60","43.6276692359737","3.89970516127937"
"560","195B61","43.6263309018401","3.82338504670884"
"563","195B64","43.6367734876905","3.92691275712355"
"564","195B65","43.645362588118","3.91627023119668"
"565","195B66","43.6453298878997","3.91627061845554"
"566","195B67","43.6390914625234","3.9256532899268"
"567","195B68","43.6368346658217","3.92720136815717"
"568","195B69","43.6367739772382","3.92688764684294"
"569","195B6A","43.6396076478436","3.92782212437089"
"570","195B6C","43.6321902908629","3.90031307521963"
"572","195B6E","43.6452866531613","3.91629747350703"
"574","195B70","43.6262095081887","3.82533777763513"
"575","195B71","43.6394037461887","3.92734002282009"
"577","195B73","43.63901986346","3.92568328904633"
"578","195B74","43.6389703415232","3.92603007912226"
"579","195B75","43.6385367991828","3.9276857758291"
"580","195B76","43.6327665126808","3.91186494033411"
"583","195B79","43.6450786147776","3.92380402848278"
"586","195B7D","43.6446601270568","3.92442191726684"
"587","195B7E","43.6410677930108","3.92323519016054"
"590","195B81","43.6411698409302","3.90861789830603"
"591","195B82","43.6440728334385","3.81871822797962"
"592","195B83","43.6440596732684","3.91244575077144"
"593","195B84","43.6449968330328","3.91493038688191"
"594","195B85","43.6445777322125","3.92401046183852"
"596","195B87","43.6387608668998","3.92585949434851"
"597","195B88","43.6390735354395","3.92560520858376"
"598","195B89","43.58081","3.85754"
"600","195B8B","43.6236263573627","3.90844070760966"
"603","195B8E","43.6262416250009","3.82534812719609"
"604","195424","43.6448713269739","3.91489179583232"
"605","195425","43.6298550109675","3.90389277839586"
"606","195426","43.6440498030671","3.91240592983297"
"607","195427","43.6423357759603","3.92210672788042"
"608","195428","43.6373032243969","3.91560646518019"
"609","195429","43.6340405993344","3.90597021621716"
"610","19542A","43.6395426189527","3.92189895750619"
"611","195432","43.6328454454564","3.90092703253538"
"612","195439","43.6335072933586","3.90758650129567"
"613","195448","43.6313945525458","3.90740839415935"
"615","19544A","43.6340662819314","3.90630952035315"
"616","195B2A","43.6390078500947","3.92564448674761"
"617","195B2B","43.6366996951949","3.92193390285252"
"618","195B2C","43.6419413442793","3.92267151566102"
"619","195B2D","43.6412312664824","3.92272032825645"
"620","195B2E","43.6387456965408","3.92761173201711"
"621","195B2F","43.6324368430079","3.90396099047166"
"622","195B30","43.6340828565569","3.89841371525642"
"623","195B31","43.6446133007265","3.92400139782205"
"624","195B32","43.6429739383328","3.91425466627493"
"626","195B34","43.6360400407307","3.91509296681875"
