num_col,flux,volume,modele,ss_quart,commune,coord_x,coord_y,adresse,filling_level,hour_filling
BD_0179,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,MONTFERRIER-SUR-LEZ,,,20 Chemin de la Qualité,,
OM_0053,Ordures ménagères,4,Aérien,La Paillade,MONTPELLIER,766304.0078,6280385.5904,18 RUE YVES MONTAND,,
OMe_0100,Ordures ménagères,3,Enterré,Gares,MONTPELLIER,770864.9772,6278888.53,10 R DURAND,,
TS_0054,Tri sélectif,3,Aérien,Aiguelongue,MONTPELLIER,771731.5842,6281377.2389,134 R DE LA ROQUETURIERE,,
V_0517,Verre,3,Aérien,Millénaire,MONTPELLIER,773212.0706,6279724.5167,80 R EDOUARD BRANLY,,
V_0088,Verre,3,Aérien,Sans objet hors Montpellier,COURNONSEC,756897.5385,6272516.6959,4 R MARECHAL,,
TSe_9040,Tri sélectif,4,Enterré,Port Marianne,MONTPELLIER,772839.2734,6278525.526,181 PL ERNEST GRANIER,,
TS_0622,Tri sélectif,3,Aérien,Les Hauts de Massane,MONTPELLIER,766537.1519,6281652.4557,505 R DE L AGATHOIS,,
V_0817,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-DREZERY,778928.154,6293112.6746,9001 SAINT DREZERY,,
TSe_0127,Tri sélectif,5,Enterré,Sans objet hors Montpellier,GRABELS,766992.5966,6283934.8875,135 RUE JEROME BALARD,,
OMe_0203,Ordures ménagères,5,Enterré,Sans objet - Hors Montpellier,CASTRIES,779207.7459,6286632.6866,20 RUE DES LAVANDIERES,,
TS_0017,Tri sélectif,3,Aérien,Sans objet hors Montpellier,CASTRIES,779242.677,6287430.1691,5 R DE L AQUEDUC,,
V_0870,Verre,3,Aérien,Sans objet hors Montpellier,FABREGUES,760424.8962,6271604.026,5808 LE CINQUET,,
BD_0208,Biodéchets,"0,24",Abri_bac,Antigone,MONTPELLIER,,,Boulevard de l'Aéroport international,,
